模板ID,名称,品级,描述,装备类型,类型,子类型,占用格子,门派ID,五行,秘籍ID,可奇遇获取,非公开,门派内排序,使用需求,正练效果ID,逆练效果ID,继承造诣加成比例,修习类型,突破盘ID,走火入魔内伤,走火入魔受伤部位,走火入魔伤害值,走火入魔气乱,可获得内力总量,每循环获得内力,循环目标类型,循环转化类型,每循环五行变化,特定格子,通用格子,命中值,闪避值,穿透,穿透抵抗,架势提气恢复,移动速度,破绽恢复,施展速度,封穴恢复,切换武器速度,攻击速度,内功比例,气乱恢复,毒抗,准备总进度,需求身体部位,脚力消耗,提气架势总消耗,基础内功比例,内功比例变化范围,穿透值,施展时额外距离,式消耗,武器耐久消耗,移动力消耗,最适武器ID,固定最佳武器ID,受伤部位攻击比例分布,总命中,每击伤害比例分布,有攻击封穴效果,有攻击破绽效果,毒素,装备破坏几率,增加移动力类型,增加破体特性,施展时增加移动速度,施展时增加移动速度百分比,移动冷却加成,施展时增加命中,脚力减少速度,脚力增加速度,移动消耗脚力,最大跳跃距离,跳跃准备帧,可部分跳跃,跳跃距离变化帧,跳跃距离变化持续,分数加成类型,分数加成,施展时增加外功穿透抵抗,施展时增加内功穿透抵抗,施展时增加闪避,反击伤害,外伤反弹率,内伤反弹率,持续帧,反弹距离,属性加成列表,外伤步骤,内伤步骤,致命伤步骤,心神伤步骤,可能真气策略列表,额外内力分配进度,循环加成技能列表,真气策略生成概率,无效突破加成类型,正练效果,逆练效果
799,玄狱绝神,8,,3,绝技,Invalid,3,0,5,-1,false,false,-1,list,1534,1534,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list2,0,45,50,0,0,0,list3,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,500,500,"350, 350, 350, 350",0,0,0,300,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力进行防御时，相枢根据敌人的处世立场：令刚正的敌人持续受到外伤；令仁善的敌人持续受到内伤；令中庸的敌人持续受到毒害；令叛逆的敌人持续受到封穴；令唯我的敌人持续受到破绽,以此神力进行防御时，相枢根据敌人的处世立场：令刚正的敌人持续受到外伤；令仁善的敌人持续受到内伤；令中庸的敌人持续受到毒害；令叛逆的敌人持续受到封穴；令唯我的敌人持续受到破绽
800,无灭石心,8,,3,绝技,Invalid,3,0,5,-1,false,false,-1,list,1535,1535,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",6000,list2,0,45,50,0,0,0,list3,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,500,500,"350, 350, 350, 350",0,0,0,600,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力进行防御时，染尘子免受重创，且染尘子所有会随时间逐渐消失的战败标记的消失速度均会加倍,以此神力进行防御时，染尘子免受重创，且染尘子所有会随时间逐渐消失的战败标记的消失速度均会加倍
801,幻心,8,,3,绝技,Invalid,3,0,5,-1,false,false,-1,list,1536,1536,0,-1,8,true,2,3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",3000,list2,0,45,50,0,0,0,list3,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,500,500,"350, 350, 350, 350",0,0,0,600,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力进行防御时，焕心每有1个增益状态，受到的所有直接伤害减少15%,以此神力进行防御时，焕心每有1个增益状态，受到的所有直接伤害减少15%
802,虚华摄月,8,,3,绝技,Invalid,3,0,5,-1,false,false,-1,list,1537,1537,0,-1,8,true,2,3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",3000,list2,0,50,100,0,0,0,list3,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,750,"0, 500, 0, 500",200,0,0,600,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力进行防御时：敌人对紫无绡造成的直接伤害根据敌人的必死标记数量降低；紫无绡对敌人造成的反击伤害根据敌人的必死标记数量提高,以此神力进行防御时：敌人对紫无绡造成的直接伤害根据敌人的必死标记数量降低；紫无绡对敌人造成的反击伤害根据敌人的必死标记数量提高
803,帝昭玄火印,8,,3,绝技,Invalid,3,0,5,-1,false,false,-1,list,1538,1538,0,-1,8,false,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list2,0,50,0,0,0,0,list3,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,750,0,"500, 0, 500, 0",0,120,120,600,90,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力进行防御时，龙语茯对敌人造成的反震伤害根据龙语茯被攻击部位的伤势标记数量提高,以此神力进行防御时，龙语茯对敌人造成的反震伤害根据龙语茯被攻击部位的伤势标记数量提高
804,寸心入梦,6,,1,奇门,Invalid,2,0,1,-1,false,false,-1,属性106=10,1558,1558,0,-1,6,false,"3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",18000,4,0,60,50,0,680,15,式4=3,0,0,840,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 30, 70, 0",true,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力发挥$0$成威力后，莫女获得3层此效果：每当敌人累积移动2距离，敌人失去所有的脚力、提气、架势,此神力发挥$0$成威力后，莫女获得3层此效果：每当敌人累积移动2距离，敌人失去所有的脚力、提气、架势
805,幽潭七水,7,,1,暗器,Invalid,2,0,1,-1,false,false,-1,属性107=10,1559,1559,0,-1,7,true,2,2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,0,0,80,100,0,800,20,式13=3,0,0,852,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 40, 60, 0",false,false,"300, 2, 300, 2, 300, 2, 300, 2, 300, 2, 300, 2",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",施展此神力的过程中，如果敌人在莫女的攻击范围内：莫女使敌人持续受到3种随机类型的毒害,施展此神力的过程中，如果敌人在莫女的攻击范围内：莫女使敌人持续受到3种随机类型的毒害
806,五色莺,8,,1,御射,Invalid,2,0,1,-1,false,false,-1,list,1560,1560,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,list2,0,100,0,0,760,25,式21=3,0,0,864,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 0, 100, 0",true,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",开始施展此神力时，莫女获得6层此效果：每当敌人以兵器攻击莫女，莫女立即对敌人进行2次兵器攻击；以此神力攻击敌人时，莫女消耗所有此效果的剩余层数，提高此神力的威力,开始施展此神力时，莫女获得6层此效果：每当敌人以兵器攻击莫女，莫女立即对敌人进行2次兵器攻击；以此神力攻击敌人时，莫女消耗所有此效果的剩余层数，提高此神力的威力
807,寸心断梦,6,,1,奇门,Invalid,3,0,1,-1,false,false,-1,属性106=10,1561,1561,0,-1,6,false,"3, 4",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",18000,4,0,60,50,0,680,15,式4=3,0,0,840,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 30, 70, 0",true,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力发挥$0$成威力后，莫女获得6层此效果：每当敌人累积移动2距离，敌人失去所有的脚力、身法、提气、架势,此神力发挥$0$成威力后，莫女获得6层此效果：每当敌人累积移动2距离，敌人失去所有的脚力、身法、提气、架势
808,玄潭鬼毒,7,,1,暗器,Invalid,3,0,1,-1,false,false,-1,属性107=10,1562,1562,0,-1,7,true,2,3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,0,0,80,100,0,800,20,式13=3,0,0,852,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 40, 60, 0",false,false,"450, 3, 450, 3, 450, 3, 450, 3, 450, 3, 450, 3",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",施展此神力的过程中，如果敌人在莫女的攻击范围内：莫女使敌人持续受到6种不同类型的毒害,施展此神力的过程中，如果敌人在莫女的攻击范围内：莫女使敌人持续受到6种不同类型的毒害
809,乱彩莺,8,,1,御射,Invalid,3,0,1,-1,false,false,-1,list,1563,1563,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,list2,0,100,0,0,760,25,式21=3,0,0,864,-1,"0, 0, 10, 50, 50, 10, 10",230,"0, 0, 100, 0",true,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",开始施展此神力时，莫女获得6层此效果：每当敌人以兵器攻击莫女，莫女立即对敌人进行4次兵器攻击；以此神力攻击敌人时，莫女消耗所有此效果的剩余层数，大幅提高此神力的威力,开始施展此神力时，莫女获得6层此效果：每当敌人以兵器攻击莫女，莫女立即对敌人进行4次兵器攻击；以此神力攻击敌人时，莫女消耗所有此效果的剩余层数，大幅提高此神力的威力
810,破妖秽,6,,1,剑法,Invalid,2,0,0,-1,false,false,-1,属性106=10,1564,1564,0,-1,6,false,"0, 1, 3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,4,0,60,0,0,1120,15,式3=3,0,0,865,-1,"50, 50, 10, 10, 10, 0, 0",170,"60, 40, 0, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",施展此神力的过程中，如果敌人在大岳瑶常的攻击范围之内，不断损耗敌人的脚力、提气、架势,施展此神力的过程中，如果敌人在大岳瑶常的攻击范围之内，不断损耗敌人的脚力、提气、架势
811,灭杀三斩,7,,1,剑法,Invalid,2,0,0,-1,false,false,-1,属性107=10,1565,1565,0,-1,7,false,"2, 0, 1, 3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",30000,4,0,80,0,0,1200,20,式3=3,0,0,853,-1,"50, 50, 10, 10, 10, 0, 0",170,"70, 30, 0, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力施展结束时，此神力的威力累积增加，持续直到战斗结束，且大岳瑶常能够重复2次，以40%的威力从施展进度50%开始无消耗施展此神力攻击敌人,此神力施展结束时，此神力的威力累积增加，持续直到战斗结束，且大岳瑶常能够重复2次，以40%的威力从施展进度50%开始无消耗施展此神力攻击敌人
812,天魔降伏,8,,1,剑法,Invalid,2,0,0,-1,false,false,-1,list,1566,1566,0,-1,8,false,"2, 0, 1, 3, 4, 5, 6",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",36000,list2,0,100,0,0,1280,25,式21=3,0,0,841,-1,"50, 50, 10, 10, 10, 0, 0",170,"100, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力攻击敌人时：如果敌人正在施展逆练功法，此神力的威力大幅提高；如果敌人未在施展「摧破」功法，此神力的威力大幅提高；如果敌人未在此神力的攻击范围之内，敌人随机出现3个破绽,以此神力攻击敌人时：如果敌人正在施展逆练功法，此神力的威力大幅提高；如果敌人未在施展「摧破」功法，此神力的威力大幅提高；如果敌人未在此神力的攻击范围之内，敌人随机出现3个破绽
813,斩恶龙,6,,1,剑法,Invalid,3,0,0,-1,false,false,-1,属性106=10,1567,1567,0,-1,6,false,"0, 1, 3, 4",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,4,0,60,0,0,1120,15,式3=3,0,0,865,-1,"50, 50, 10, 10, 10, 0, 0",170,"60, 40, 0, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",施展此神力的过程中，如果敌人在大岳瑶常的攻击范围之内，不断损耗敌人的脚力、提气、架势,施展此神力的过程中，如果敌人在大岳瑶常的攻击范围之内，不断损耗敌人的脚力、提气、架势
814,舍断三斩,7,,1,剑法,Invalid,3,0,0,-1,false,false,-1,属性107=10,1568,1568,0,-1,7,false,"2, 0, 1, 3, 4",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",30000,4,0,80,0,0,1200,20,式3=3,0,0,853,-1,"50, 50, 10, 10, 10, 0, 0",170,"70, 30, 0, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力施展结束时，此神力的威力累积增加，持续直到战斗结束，且大岳瑶常能够重复2次，以80%的威力从施展进度50%开始无消耗施展此神力攻击敌人,此神力施展结束时，此神力的威力累积增加，持续直到战斗结束，且大岳瑶常能够重复2次，以80%的威力从施展进度50%开始无消耗施展此神力攻击敌人
815,天魔破尽,8,,1,剑法,Invalid,3,0,0,-1,false,false,-1,list,1569,1569,0,-1,8,false,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",36000,list2,0,100,0,0,1280,25,式21=3,0,0,841,-1,"50, 50, 10, 10, 10, 0, 0",170,"100, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力攻击敌人时：如果敌人正在施展逆练功法，此神力的威力大幅提高；如果敌人未在施展「摧破」功法，此神力的威力大幅提高；如果敌人未在此神力的攻击范围之内，敌人随机出现6个破绽,以此神力攻击敌人时：如果敌人正在施展逆练功法，此神力的威力大幅提高；如果敌人未在施展「摧破」功法，此神力的威力大幅提高；如果敌人未在此神力的攻击范围之内，敌人随机出现6个破绽
816,塑雪,6,,1,指法,Invalid,2,0,2,-1,false,false,-1,属性106=10,1570,1570,0,-1,6,true,"3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,60,50,0,1080,15,式8=3,0,0,842,-1,"0, 0, 10, 20, 20, 40, 40",170,"0, 40, 60, 0",false,true,"0, 0, 0, 0, 600, 2, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力发挥$0$成威力时，九寒获得30层此效果：以每0.1距离消耗1层此效果为代价，抵消敌人移动的距离，此效果存在时，降低敌人的脚力恢复速度,此神力发挥$0$成威力时，九寒获得30层此效果：以每0.1距离消耗1层此效果为代价，抵消敌人移动的距离，此效果存在时，降低敌人的脚力恢复速度
817,青神悠舞,8,,1,拳掌,Invalid,2,0,2,-1,false,false,-1,list,1571,1571,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,list2,0,100,0,0,880,25,式21=3,0,0,854,-1,"0, 0, 10, 20, 20, 40, 40",240,"0, 30, 70, 0",true,false,"0, 0, 0, 0, 800, 2, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力施展结束时，九寒获得9层此效果：敌人持续出现1个封穴；敌人每因此效果出现封穴，此效果层数减少1层,此神力施展结束时，九寒获得9层此效果：敌人持续出现1个封穴；敌人每因此效果出现封穴，此效果层数减少1层
818,祈悲曲,7,,1,乐器,Invalid,2,0,2,-1,false,false,-1,属性107=10,1572,1572,0,-1,7,true,2,2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",33000,"0, 3",0,80,100,0,0,20,式9=3,0,0,866,-1,"0, 0, 10, 20, 20, 40, 40",1000,"0, 0, 0, 100",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",以此神力攻击敌人时，九寒获得12层此效果：敌人兵器攻击需要的准备时间大幅上升，且命中率大幅下降，此效果层数会随时间自动减少,以此神力攻击敌人时，九寒获得12层此效果：敌人兵器攻击需要的准备时间大幅上升，且命中率大幅下降，此效果层数会随时间自动减少
819,凝洪,6,,1,指法,Invalid,3,0,2,-1,false,false,-1,属性106=10,1573,1573,0,-1,6,true,"3, 4",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,60,50,0,1080,15,式8=3,0,0,842,-1,"0, 0, 10, 20, 20, 40, 40",170,"0, 40, 60, 0",false,true,"0, 0, 0, 0, 600, 3, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力发挥$0$成威力时，九寒获得60层此效果：以每0.1距离消耗1层此效果为代价，抵消敌人移动的距离，此效果存在时，降低敌人的脚力恢复速度,此神力发挥$0$成威力时，九寒获得60层此效果：以每0.1距离消耗1层此效果为代价，抵消敌人移动的距离，此效果存在时，降低敌人的脚力恢复速度
820,青神肆舞,8,,1,拳掌,Invalid,3,0,2,-1,false,false,-1,list,1574,1574,0,-1,8,true,"2, 0, 1, 3, 4, 5, 6",3,500,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,list2,0,100,0,0,880,25,式21=3,0,0,854,-1,"0, 0, 10, 20, 20, 40, 40",240,"0, 30, 70, 0",true,false,"0, 0, 0, 0, 800, 3, 0, 0, 0, 0, 0, 0",100,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-2,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3",此神力施展结束时，九寒获得9层此效果：敌人持续出现2个封穴；敌人每因此效果出现封穴，此效果层数减少1层,此神力施展结束时，九寒获得9层此效果：敌人持续出现2个封穴；敌人每因此效果出现封穴，此效果层数减少1层
